,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15
0,0.02,3.00,1.00,0.06,0.00,1.00,0.00,3.00,7.00,0.00,1955.00,98178.00,47.51,-122.26,0.16,5650.00
1,0.06,3.00,2.25,0.17,0.00,2.00,0.00,3.00,7.00,400.00,1951.00,98125.00,47.72,-122.32,0.22,7639.00
2,0.01,2.00,1.00,0.03,0.01,1.00,0.00,3.00,6.00,0.00,1933.00,98028.00,47.74,-122.23,0.40,8062.00
3,0.07,4.00,3.00,0.12,0.00,1.00,0.00,5.00,7.00,910.00,1965.00,98136.00,47.52,-122.39,0.17,5000.00
4,0.06,3.00,2.00,0.10,0.00,1.00,0.00,3.00,8.00,0.00,1987.00,98074.00,47.62,-122.05,0.24,7503.00
5,0.15,4.00,4.50,0.38,0.06,1.00,0.00,3.00,11.00,1530.00,2001.00,98053.00,47.66,-122.01,0.75,101930.00
6,0.02,3.00,2.25,0.10,0.00,2.00,0.00,3.00,7.00,0.00,1995.00,98003.00,47.31,-122.33,0.32,6819.00
7,0.03,3.00,1.50,0.05,0.01,1.00,,3.00,7.00,0.00,1963.00,98198.00,47.41,-122.32,0.22,9711.00
8,0.02,3.00,1.00,0.11,0.00,1.00,0.00,3.00,7.00,730.00,1960.00,98146.00,47.51,-122.34,0.24,8113.00
9,0.03,3.00,2.50,0.12,0.00,2.00,0.00,3.00,7.00,0.00,2003.00,98038.00,47.37,-122.03,0.34,7570.00
10,0.08,3.00,2.50,0.24,0.01,1.00,0.00,3.00,8.00,1700.00,1965.00,98007.00,47.60,-122.15,0.31,8925.00
11,0.05,2.00,1.00,0.06,0.00,1.00,0.00,4.00,7.00,300.00,1942.00,98115.00,47.69,-122.29,0.16,6000.00
12,0.03,3.00,1.00,0.08,0.01,1.50,0.00,4.00,7.00,0.00,1927.00,98028.00,47.76,-122.23,0.24,12697.00
13,0.04,3.00,1.75,0.08,0.01,1.00,0.00,4.00,7.00,0.00,1977.00,98074.00,47.61,-122.05,0.17,10208.00
14,0.06,5.00,2.00,0.11,0.00,1.50,0.00,3.00,7.00,0.00,1900.00,98107.00,47.67,-122.39,0.17,4850.00
15,0.08,4.00,3.00,0.20,0.00,2.00,3.00,3.00,9.00,970.00,1979.00,98126.00,47.57,-122.38,0.30,4000.00
16,0.04,3.00,2.00,0.12,0.01,2.00,0.00,3.00,7.00,0.00,1994.00,98019.00,47.73,-121.96,0.26,14018.00
17,0.05,4.00,1.00,0.09,0.00,1.50,0.00,4.00,7.00,0.00,1916.00,98103.00,47.66,-122.34,0.21,4300.00
18,0.01,2.00,1.00,0.06,0.01,1.00,0.00,4.00,7.00,0.00,1921.00,98002.00,47.31,-122.21,0.11,5095.00
19,0.02,3.00,1.00,0.07,0.01,1.00,0.00,4.00,7.00,0.00,1969.00,98003.00,47.33,-122.31,0.15,8850.00
20,0.04,4.00,1.75,0.09,0.00,1.00,0.00,4.00,7.00,760.00,1947.00,98133.00,47.70,-122.34,0.17,4980.00
21,0.25,3.00,2.75,0.20,0.03,1.00,4.00,3.00,9.00,720.00,1968.00,98040.00,47.53,-122.23,0.64,20336.00
22,0.03,5.00,2.50,0.14,0.00,2.00,0.00,3.00,8.00,0.00,1995.00,98092.00,47.33,-122.17,0.32,7005.00
23,0.02,2.00,1.50,0.05,0.01,1.00,0.00,3.00,7.00,0.00,1985.00,98030.00,47.35,-122.17,0.14,8386.00
24,0.03,3.00,2.25,0.16,0.00,2.00,0.00,4.00,8.00,0.00,1985.00,98030.00,47.37,-122.17,0.31,6865.00
25,0.02,3.00,2.00,0.10,0.00,1.50,0.00,5.00,6.00,0.00,1941.00,98002.00,47.30,-122.22,0.11,4705.00
26,0.11,3.00,1.75,0.16,0.00,2.00,0.00,3.00,8.00,700.00,1915.00,98119.00,47.64,-122.36,0.23,3573.00
27,0.08,3.00,1.00,0.08,0.00,1.50,0.00,5.00,8.00,0.00,1909.00,98112.00,47.62,-122.31,0.25,3861.00
28,0.05,3.00,1.75,0.09,0.00,1.00,0.00,3.00,7.00,730.00,1948.00,98115.00,47.70,-122.30,0.19,6235.00
29,0.08,4.00,2.50,0.17,0.00,2.00,0.00,3.00,8.00,0.00,2005.00,98052.00,47.71,-122.11,0.38,6026.00
30,0.07,3.00,2.50,0.15,0.00,2.00,0.00,3.00,8.00,0.00,2003.00,98027.00,47.54,-122.07,0.38,3980.00
31,0.03,2.00,1.50,0.06,0.00,3.00,0.00,3.00,7.00,0.00,2005.00,98133.00,47.73,-122.36,0.17,1756.00
32,0.08,4.00,1.75,0.15,0.00,1.50,0.00,4.00,7.00,820.00,1929.00,98117.00,47.68,-122.37,0.18,5000.00
33,0.06,3.00,1.00,0.05,0.00,1.50,0.00,4.00,8.00,0.00,1929.00,98117.00,47.69,-122.38,0.20,5080.00
34,0.03,4.00,2.75,0.13,0.00,1.00,0.00,3.00,7.00,780.00,1981.00,98058.00,47.43,-122.16,0.28,8720.00
35,0.08,3.00,2.50,0.15,0.00,1.50,0.00,3.00,8.00,790.00,1930.00,98115.00,47.68,-122.31,0.20,3264.00
36,0.06,4.00,1.00,0.10,0.02,1.00,0.00,1.00,5.00,730.00,1933.00,98052.00,47.66,-122.13,0.30,11467.00
37,0.07,4.00,2.00,0.15,0.00,2.00,0.00,4.00,8.00,0.00,1904.00,98107.00,47.67,-122.36,0.23,4700.00
38,0.02,4.00,1.00,0.06,0.00,1.00,0.00,2.00,7.00,330.00,1969.00,98001.00,47.33,-122.28,0.15,7800.00
